Product Code,Manufacturer,On Hand
LL3AA46-1XX,CARLING,362
VVAAB00-000,CARLING,362
VVASC00-000,CARLING,368
VLD1A60B-00000-000,CARLING,369
VVGSC00-000,CARLING,370
VV1ZZ00-000,CARLING,375
VJD1D66B-00000-000,CARLING,384
V2D1AT0B-00000-000,CARLING,400
V4D11N0B-00000-000,CARLING,400
V6D11N0B-00000-000,CARLING,400
VJD2GXHB-00000-000-XCH1,CARLING,400
VTH7ZCC00-000,CARLING,400
VVG9CXX-100-XFAT1,CARLING,400
VVG9CXX-100-XSH2,CARLING,400
LL3AZ4P-100,CARLING,411
L14B1S001-AZZ00-000,CARLING,418
V2D2S00B-AZCXX-000,CARLING,420
L58E1S001-AZZ00-000,CARLING,423
LT-2561-610-012-XAS1,CARLING,436
VVALCE2-100-XHM1,CARLING,440
VVPZXXX-1XX-XDL1,CARLING,449
V1D1AX0B-00000-000-XBLU1,CARLING,450
VVG9CXX-100-XHM2,CARLING,450
VMM-01,CARLING,453
V6D1K66B-00000-000,CARLING,459
VVAZY00-000,CARLING,473
RC211-RB-B-O-N,CARLING,476
LC6-01,CARLING,478
VVL36000,CARLING,497
464-11061-459,CARLING,500
651112-BB-0N,CARLING,500
V1D1GTTB-00000-000,CARLING,500
V1D1S001-00000-000,CARLING,500
V211AN0B-6DZ00-000,CARLING,500
V8D1AN0B-CBB00-000,CARLING,500
VVA9B00-000,CARLING,502
VVALCXX-100-XAH1,CARLING,504
VVL34000,CARLING,506
HK250-73,CARLING,514
CLB-073-27E3N-B-A,CARLING,531
VVEZC00-000,CARLING,534
VVALC44-100-XNG1,CARLING,543
VVAMC00-000,CARLING,544
V1D1J66B-00000-000,CARLING,552
LL3AA00-000,CARLING,564
LLAZZ00-000,CARLING,580
RA911-R-B-B-0-N,CARLING,595
V6D1160B-00000-000,CARLING,597
V1D1AT0B-00000-000,CARLING,600
VVARY00-000,CARLING,600
VVT1,CARLING,603
V4D1S00B-00000-000,CARLING,607
LME-01,CARLING,630
VDD2GXHB-00000-000-XWG1,CARLING,634
LT-1511-710-012,CARLING,653
CLB-203-27E3N-W-A,CARLING,665
VAD1B60B-00000-000,CARLING,667
LC1-07,CARLING,676
CLB-103-27E3N-B-A,CARLING,680
VV1ZZ8V-100,CARLING,686
VVALC00-000,CARLING,694
2BB65-73,CARLING,698
V1D1AH0B-00000-000,CARLING,700
VVG8C00-000,CARLING,708
V1D1S00B-00000-000,CARLING,734
CLB-203-27E3N-B-A,CARLING,749
VVAPC00-000,CARLING,756
VVESC00-000,CARLING,770
LC2-01,CARLING,775
V6D1D66B-00000-000,CARLING,783
CLB-053-27E3N-W-A,CARLING,799
VVL35000,CARLING,814
LT-2561-701-012,CARLING,824
LT-1561-701-012,CARLING,825
V5D2S00B-00000-000,CARLING,837
VVL33000,CARLING,871
V2D1S00B-00000-000,CARLING,876
VAD1G66B-00000-000,CARLING,896
JC3-03,CARLING,897
348-34470-001,CARLING,900
8T1-E-113,CARLING,900
VVG8SXX-100-XDR1,CARLING,900
VVEPC00-000,CARLING,911
H316,CARLING,915
2FA53-73,CARLING,963
384-17126-001,CARLING,980
VVPZXXX-11R-XAC1,CARLING,999
8T1-E-114,CARLING,1000
TGBC405TBWXAI9,CARLING,1000
VVAYC00-000,CARLING,1006
536-11587-001,CARLING,1025
VVL32000,CARLING,1055
2GA51-D3BB-XNS1,CARLING,1087
380-08608-002,CARLING,1100
LT-1511-610-012,CARLING,1139
V1D2B60B-AKCXX-000,CARLING,1175
LD1-01,CARLING,1196
TIGC724-6M-WH-NWH-XDL1,CARLING,1200
VVARS00-000,CARLING,1211
V8D1S00B-00000-000,CARLING,1215
VJDJD66B-00000-000,CARLING,1229
V4D1S00B-AZCXX-100-XCD1,CARLING,1240
VC2-01,CARLING,1290
CLB-043-27E3N-B-A,CARLING,1295
VVFPC00-000,CARLING,1297
8T1-E-273,CARLING,1302
VVENC00-000,CARLING,1349
LLRA2Z00-000,CARLING,1353
CLB-203-27E1N-W-F,CARLING,1360
V811S001-6ZZ00-000,CARLING,1360
VC1-03,CARLING,1387
VVGRC00-000,CARLING,1400
CLB-103-27E3N-W-A,CARLING,1444
V1D1766B-ALCXX-100-XCB1,CARLING,1603
VVGPC00-000,CARLING,1643
VVAKC00-000,CARLING,1645
V1D2B60B-00000-000,CARLING,1737
VLD2UXHB-00000-000-XWG1,CARLING,1749
CLB-153-27E3N-B-A,CARLING,1805
VVR64000,CARLING,1832
VCH-01,CARLING,2035
VPS,CARLING,2084
VVCZC00-000,CARLING,2099
CLB-153-27E3N-W-A,CARLING,2129
VVA9C00-000,CARLING,2146
LC1-04,CARLING,2159
VVCNC00-000,CARLING,2256
VVEMC00-000,CARLING,2393
VXD1S00B-00000-000-XRYF1,CARLING,2402
VVAAC00-000,CARLING,2426
VVARC00-000,CARLING,2600
VVGZC00-000,CARLING,2754
RSCA201-VB-B-1-V,CARLING,2842
LC1-02,CARLING,3065
LC1-03,CARLING,3091
RD221-MB-B-0-N,CARLING,3539
VVFMC00-000,CARLING,3545
LC1-06,CARLING,3613
CA201-52,CARLING,3698
VVCMC00-000,CARLING,3779
HP1-01,CARLING,3910
RK7186,CARLING,4033
LC2-07,CARLING,4199
LC1-05,CARLING,4238
VVGZS00-000,CARLING,4252
VVAZC00-000,CARLING,4947
RA901-VB-B-9-V,CARLING,5022
V1D1B60B-00000-000,CARLING,6086
VVGZX00-000,CARLING,6484
LH1,CARLING,7549
LC2-02,CARLING,15746
LC1-01,CARLING,30065
EA2-B0-26-620-5DC-DD,CARLING ,1
LT-1581-611-012,CARLING ,1
MB1-B-64-615-1-A34B-D,CARLING ,1
VJDAS00B-AZC00-000,CARLING ,5
SPM09053,CARLING ,35
L68D1A601-00000-000,CARLING ,110
VVG9CXX-100-XETS1,CARLING ,150
VVABB00-000,CARLING ,176
V8D11N0B-00000-000,CARLING ,400
1132,CARLING  ,17485
VVL22000,CARLING SWITCH,16
V8D2U661-00000-000,CARLING SWITCH,108
1213-BLK,CARLING SWITCH,465
VV6ZZ00-000,CARLING SWITCH,859
BA2-B0-44-615-121-D,CARLING TECH,1
VGD2Y66B-00000-000,CARLING TECH,1
VVJZZ00-000,CARLING TECH,1
TIGM51-6S-BL-NBL,CARLING TECH,2
V1D13WN1-1DN00-0,CARLING TECH,2
